Image,Frame,Model,Prompt,What limb is injured?,Is the patient intubated?,Where is the catheter inserted?,Is there bleeding?,Has the bleeding stopped?,Is the patient moving?,Is the patient breathing?,Is there a tourniquet?,Is there a chest tube?,Are the patient and instruments secured?,If a limb is missing which one?,Is there mechanical ventilation?,What is the position of the injury?
TQ35_frame46.jpg,46,vilt,prompt1,left,yes,shirt,yes,yes,no,yes,yes,yes,yes,arm,no,down
TQ35_frame170.jpg,170,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ35_frame388.jpg,388,vilt,prompt1,left,yes,chest,yes,yes,no,yes,no,yes,no,left,no,down
TQ35_frame200.jpg,200,vilt,prompt1,left,yes,leg,yes,yes,no,yes,yes,yes,no,left,no,down
TQ35_frame956.jpg,956,vilt,prompt1,left,yes,bag,no,yes,no,yes,no,yes,no,arm,no,down
TQ35_frame299.jpg,299,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ35_frame851.jpg,851,vilt,prompt1,left,yes,chest,yes,yes,no,yes,no,yes,no,arm,no,down
TQ35_frame1129.jpg,1129,vilt,prompt1,left,yes,yes,yes,yes,no,yes,no,no,no,left,no,down
TQ35_frame864.jpg,864,vilt,prompt1,left,yes,purse,yes,yes,no,yes,no,no,no,arm,no,down
TQ35_frame1.jpg,1,vilt,prompt1,left,yes,box,no,yes,no,yes,yes,no,no,left,no,down
TQ35_frame640.jpg,640,vilt,prompt1,left,yes,yes,yes,yes,no,yes,yes,yes,no,arm,no,down
TQ35_frame888.jpg,888,vilt,prompt1,left,yes,arm,yes,yes,no,yes,no,yes,no,left,no,down
TQ35_frame121.jpg,121,vilt,prompt1,left,yes,wrist,yes,yes,no,yes,no,no,no,left,no,down
TQ35_frame392.jpg,392,vilt,prompt1,left,yes,chest,yes,yes,no,yes,no,yes,no,left,no,down
TQ35_frame782.jpg,782,vilt,prompt1,left,yes,chest,yes,yes,no,yes,no,yes,yes,left,no,down
TQ35_frame58.jpg,58,vilt,prompt1,left,yes,tie,no,yes,no,yes,yes,yes,yes,left,no,down
TQ35_frame1351.jpg,1351,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,yes,left,yes,down
TQ35_frame380.jpg,380,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ35_frame1218.jpg,1218,vilt,prompt1,arm,yes,wrist,no,no,no,yes,no,no,no,arm,no,down
TQ35_frame1233.jpg,1233,vilt,prompt1,left,yes,wrist,yes,yes,no,yes,no,yes,no,arm,no,down
TQ33_frame606.jpg,606,vilt,prompt1,left,yes,purse,yes,yes,no,yes,yes,yes,yes,left,no,down
TQ33_frame1380.jpg,1380,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,no,left,yes,down
TQ33_frame27.jpg,27,vilt,prompt1,arm,no,bag,no,no,no,yes,yes,no,no,left,no,down
TQ33_frame836.jpg,836,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,yes,left,yes,down
TQ33_frame1030.jpg,1030,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,yes,left,no,down
TQ33_frame1568.jpg,1568,vilt,prompt1,left,yes,backpack,yes,yes,no,yes,yes,yes,no,left,yes,down
TQ33_frame159.jpg,159,vilt,prompt1,left,yes,yes,yes,yes,no,yes,yes,no,yes,left,no,down
TQ33_frame1224.jpg,1224,vilt,prompt1,left,yes,backpack,yes,yes,no,yes,yes,yes,yes,left,no,down
TQ33_frame665.jpg,665,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame1725.jpg,1725,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame1.jpg,1,vilt,prompt1,left,no,bag,yes,no,no,yes,yes,no,no,left,no,down
TQ33_frame1909.jpg,1909,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame1883.jpg,1883,vilt,prompt1,left,yes,purse,yes,yes,no,yes,yes,no,no,arm,no,down
TQ33_frame1471.jpg,1471,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,yes,left,yes,down
TQ33_frame492.jpg,492,vilt,prompt1,left,yes,bag,yes,yes,no,yes,yes,yes,no,woman,no,down
TQ33_frame1689.jpg,1689,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame1809.jpg,1809,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame1986.jpg,1986,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame1366.jpg,1366,vilt,prompt1,left,yes,arm,yes,yes,no,yes,yes,yes,no,left,no,down
TQ33_frame541.jpg,541,vilt,prompt1,yes,yes,bag,yes,yes,no,yes,yes,yes,no,middle,no,down
TQ34_frame29.jpg,29,vilt,prompt1,left,yes,backpack,yes,yes,no,no,yes,yes,yes,arm,no,down
TQ34_frame412.jpg,412,vilt,prompt1,left,yes,purse,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame1.jpg,1,vilt,prompt1,left,yes,backpack,yes,yes,no,yes,no,yes,no,arm,no,down
TQ34_frame775.jpg,775,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,yes,left,no,down
TQ34_frame601.jpg,601,vilt,prompt1,left,yes,purse,no,yes,no,yes,yes,yes,yes,woman,no,down
TQ34_frame1480.jpg,1480,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame868.jpg,868,vilt,prompt1,left,yes,backpack,no,yes,no,yes,yes,yes,no,arm,no,down
TQ34_frame1081.jpg,1081,vilt,prompt1,left,yes,backpack,no,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame1524.jpg,1524,vilt,prompt1,left,yes,laptop,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame701.jpg,701,vilt,prompt1,left,yes,backpack,yes,yes,no,yes,yes,yes,yes,left,no,down
TQ34_frame1069.jpg,1069,vilt,prompt1,left,yes,backpack,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame486.jpg,486,vilt,prompt1,left,yes,purse,yes,yes,no,yes,yes,yes,no,left,yes,down
TQ34_frame120.jpg,120,vilt,prompt1,left,yes,purse,no,yes,no,no,no,yes,no,left,no,down
TQ34_frame319.jpg,319,vilt,prompt1,left,yes,backpack,no,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame912.jpg,912,vilt,prompt1,left,yes,purse,yes,yes,no,yes,yes,yes,yes,left,no,down
TQ34_frame182.jpg,182,vilt,prompt1,left,yes,backpack,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame751.jpg,751,vilt,prompt1,left,yes,purse,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame180.jpg,180,vilt,prompt1,left,yes,box,yes,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame580.jpg,580,vilt,prompt1,left,yes,backpack,no,yes,no,yes,yes,yes,no,left,no,down
TQ34_frame18.jpg,18,vilt,prompt1,left,yes,purse,no,no,no,yes,yes,yes,yes,left,no,down
Cric37_frame1999.jpg,1999,vilt,prompt1,left,yes,backpack,no,yes,no,yes,yes,yes,yes,neither,yes,down
Cric37_frame1630.jpg,1630,vilt,prompt1,arm,yes,arm,yes,yes,no,yes,yes,yes,yes,arm,yes,down
Cric37_frame225.jpg,225,vilt,prompt1,left,yes,chest,yes,yes,no,yes,yes,yes,yes,left,yes,down
Cric37_frame1586.jpg,1586,vilt,prompt1,arm,yes,arm,no,yes,no,yes,yes,yes,no,arm,no,down
Cric37_frame1132.jpg,1132,vilt,prompt1,arm,yes,yes,yes,yes,no,yes,yes,yes,yes,arm,yes,down
