Image,Frame,Model,Prompt,What limb is injured?,Is the patient intubated?,Where is the catheter inserted?,Is there bleeding?,Has the bleeding stopped?,Is the patient moving?,Is the patient breathing?,Is there a tourniquet?,Is there a chest tube?,Are the patient and instruments secured?,If a limb is missing which one?,Is there mechanical ventilation?,What is the position of the injury?
Cric33_frame1566.jpg,1566,vilt,prompt1,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes
ND2_frame1836.jpg,1836,vilt,prompt1,no,no,no,no,no,no,no,no,yes,no,no,no,no
CT2_frame3051.jpg,3051,vilt,prompt1,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes
Cric22_frame2.jpg,2,vilt,prompt1,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes
ND6_frame1119.jpg,1119,vilt,prompt1,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,hydrant
ND6_frame555.jpg,555,vilt,prompt1,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,no
CT15_frame1.jpg,1,vilt,prompt1,yes,no,no,no,no,no,no,no,yes,no,no,no,yes
ND28_frame1000.jpg,1000,vilt,prompt1,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cric28_frame612.jpg,612,vilt,prompt1,hand,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
IO19_frame1223.jpg,1223,vilt,prompt1,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
CT14_frame13610.jpg,13610,vilt,prompt1,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes
ND6_frame2389.jpg,2389,vilt,prompt1,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,water
TQ22_frame22.jpg,22,vilt,prompt1,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Cric22_frame3.jpg,3,vilt,prompt1,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes
Cric5_frame1599.jpg,1599,vilt,prompt1,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes
CT19_frame2333.jpg,2333,vilt,prompt1,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes
IO26_frame343.jpg,343,vilt,prompt1,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,yes
